Job Number,Job Number,Job Number Xero
Protective Fabr,Protective Fabrications,Protective Fabr-Protective Fabrications
CGU Insurance,CGU Insurance,CGU Insurance-CGU Insurance
Profab 6306,Labour secondment Nov06,Profab 6306-Labour secondment Nov06
Bosut,Bosut,Bosut-Bosut
Wang-1,Wangara Poultry & Game,Wang-1-Wangara Poultry & Game
Sales Work,Sales Work,Sales Work-Sales Work
Parkhurst-Legal,Parkhurst-Legal expenses,Parkhurst-Legal-Parkhurst-Legal expenses
PIX,PIX,PIX-PIX
Parkhurst-Warr,Parkhurst-Warranty,Parkhurst-Warr-Parkhurst-Warranty
Tools-Capital,Tools-Capital,Tools-Capital-Tools-Capital
Cass-10697,Cassacio-10697-Lara,Cass-10697-Cassacio-10697-Lara
Tools-Non Cap,Tools-Non Capital,Tools-Non Cap-Tools-Non Capital
Conference,Conference,Conference-Conference
Stock,Stock,Stock-Stock
Kes1-10788,Kessler-10788,Kes1-10788-Kessler-10788
Olde-11505,Olde Ballarat Country Fre,Olde-11505-Olde Ballarat Country Fre
Kes2-11774,Kessler-2nd Avio system,Kes2-11774-Kessler-2nd Avio system
Kes3-11806,Kessler- Avio 3rd system,Kes3-11806-Kessler- Avio 3rd system
Colla S & P,New Job,Colla S & P-New Job
Industry Meetin,Industry Meetings,Industry Meetin-Industry Meetings
staff event,Staff event,staff event-Staff event
Trade Show,Trade Show,Trade Show-Trade Show
Promo event,Promotional Event,Promo event-Promotional Event
Kam-12114A,P Kambouris Avio D System,Kam-12114A-P Kambouris Avio D System
check EOFY,EOFY issue,check EOFY-EOFY issue
Kes4-12606,Kessler Avio 4,Kes4-12606-Kessler Avio 4
Fuel-,Fuel,Fuel--Fuel
Insurance,Insurance,Insurance-Insurance
Rego,Car Rego,Rego-Car Rego
Car Accessory,Car Accessory,Car Accessory-Car Accessory
O/Seas Supplier,New Job,O/Seas Supplier-New Job
Kes5-13471,Kessler Avio 5,Kes5-13471-Kessler Avio 5
car repairs,car repairs,car repairs-car repairs
AGIN-13503,Aginbrook 13503,AGIN-13503-Aginbrook 13503
Industry Event,Industry Event,Industry Event-Industry Event
SOF,SOF required,SOF-SOF required
staff meeting,New Job,staff meeting-New Job
Olde-13193,Olde Ballarat Egg Grader,Olde-13193-Olde Ballarat Egg Grader
Forklift Toyota,Toyota Forklift,Forklift Toyota-Toyota Forklift
chook ball,VCMC Chook Ball,chook ball-VCMC Chook Ball
Olde-13917,Olde-Egg saver wire,Olde-13917-Olde-Egg saver wire
Davies-Shed,Shed Red Hill,Davies-Shed-Shed Red Hill
PACE-13233,Replace Coolpads,PACE-13233-Replace Coolpads
Olde-Simetek,Simetek Warranty,Olde-Simetek-Simetek Warranty
Olde-Zucami,Olde-Zucami Warranty,Olde-Zucami-Olde-Zucami Warranty
Ebay,Ebay,Ebay-Ebay
Davies-House,Davies-House,Davies-House-Davies-House
supplier liason,New Job,supplier liason-New Job
EBM Papst,EBM Papst,EBM Papst-EBM Papst
AGIN-17240,Brown's Rd Conveyor Instl,AGIN-17240-Brown's Rd Conveyor Instl
Travel Time,Travel Time,Travel Time-Travel Time
AG-17430,Aginbrook Convoy Browns,AG-17430-Aginbrook Convoy Browns
AG-Eramosa,Eramosa Rd. Project,AG-Eramosa-Eramosa Rd. Project
AG-ERdSlatbars,Procure Slat Bars,AG-ERdSlatbars-Procure Slat Bars
AG-E-18258,Aginbrook-Eramosa Avio,AG-E-18258-Aginbrook-Eramosa Avio
Ag-Browns Rd,Aginbrook- Browns Rd,Ag-Browns Rd-Aginbrook- Browns Rd
AG-E-18259,Aginbrook Install Avio,AG-E-18259-Aginbrook Install Avio
Factory,Hastings Factory,Factory-Hastings Factory
AG-E-18306,Perches at Eramosa Rd,AG-E-18306-Perches at Eramosa Rd
Shop,Shop,Shop-Shop
Query,Query,Query-Query
AG-20069,Aginbrook-Twinpack5021406,AG-20069-Aginbrook-Twinpack5021406
Casa-20057,Casaccio 20057 May 2014,Casa-20057-Casaccio 20057 May 2014
Casaccio 20057,Casaccio Terang 20057,Casaccio 20057-Casaccio Terang 20057
GAL-18859,Gallus Lane Fans 18859,GAL-18859-Gallus Lane Fans 18859
Casa-22128,Steps for Egg Room,Casa-22128-Steps for Egg Room
Casa-22129,Ramps&Cover,Casa-22129-Ramps&Cover
Casa-21383,Egg Room Terang,Casa-21383-Egg Room Terang
Casa-22155,Perimeter Wire,Casa-22155-Perimeter Wire
FuelCasa,Fuel expense re Casaccio,FuelCasa-Fuel expense re Casaccio
Casa-22156,Nest Flashing,Casa-22156-Nest Flashing
Casa-21471,3 Feeder Lines- R3,Casa-21471-3 Feeder Lines- R3
Casa-22207,X-Auger for R4,Casa-22207-X-Auger for R4
ebm fan sales,EBM fan Sales,ebm fan sales-EBM fan Sales
Fell-22444,Fell Avio 22444,Fell-22444-Fell Avio 22444
Ble-22756,Blewitt Springs Convoy,Ble-22756-Blewitt Springs Convoy
Fell-23714,Convoy,Fell-23714-Convoy
SEF-23367,SEF Avio March 2015,SEF-23367-SEF Avio March 2015
Workcover NC,work injury no claim,Workcover NC-work injury no claim
SEF-2015,Sawtooth Refurbishment,SEF-2015-Sawtooth Refurbishment
SEFDrinkers2015,Drinkers,SEFDrinkers2015-Drinkers
Fell-scrapers,Fell Scrapers,Fell-scrapers-Fell Scrapers
Maid-24106,Maidment JC labour,Maid-24106-Maidment JC labour
GRE-ScraperProb,Grenax Scraper Problem,GRE-ScraperProb-Grenax Scraper Problem
SEF-24204,Rat Walls and POP Doors,SEF-24204-Rat Walls and POP Doors
Maid-24133,Maidment Ska 30141,Maid-24133-Maidment Ska 30141
SEF 24748,Curtain Installation,SEF 24748-Curtain Installation
SEF-24750,Roof Insulation Labour,SEF-24750-Roof Insulation Labour
SEF-24754,Front and Back Walls,SEF-24754-Front and Back Walls
SEF-24087,Fogger Installation,SEF-24087-Fogger Installation
FarmerLittle,Farmer Little Estab Cost,FarmerLittle-Farmer Little Estab Cost
EBM-13120,Extra Fans for Stankovic,EBM-13120-Extra Fans for Stankovic
SEF-25244,Steps,SEF-25244-Steps
SEF-24834,Fans,SEF-24834-Fans
SEF-25316,Fence over Nests,SEF-25316-Fence over Nests
SEF-25317,winch & gates,SEF-25317-winch & gates
Warranty,Warranty,Warranty-Warranty
LVFF-26047,LatrobeVFF26047,LVFF-26047-LatrobeVFF26047
LVFF-26049,LVFF- EC Equip Inventory,LVFF-26049-LVFF- EC Equip Inventory
Casa-26115,Refurbishment of R4,Casa-26115-Refurbishment of R4
BON-25753,Drinker,BON-25753-Drinker
PIX2016,PIX2016,PIX2016-PIX2016
Casa-26113,Equipment R4,Casa-26113-Equipment R4
Farmer Little,Farmer Little,Farmer Little-Farmer Little
FL - Sales EBAY,Farmer-Little Sales EBAY,FL - Sales EBAY-Farmer-Little Sales EBAY
Casa2016-R4,R4 Refurb and Fitout,Casa2016-R4-R4 Refurb and Fitout
Casa2016R4Accom,Accommodation Terang 2016,Casa2016R4Accom-Accommodation Terang 2016
CRA-Sh2,Craig -Shed 2 Refurb 2016,CRA-Sh2-Craig -Shed 2 Refurb 2016
LVFF-Drinker,New Job,LVFF-Drinker-New Job
LVFF-26054Labou,LVFF Drinker Labour,LVFF-26054Labou-LVFF Drinker Labour
LVFF-Shutters,Shutters - install,LVFF-Shutters-Shutters - install
Eurotier2016,New Job,Eurotier2016-New Job
LVFF-Coolpads,Cool Pads,LVFF-Coolpads-Cool Pads
LVFF-26047main,Main Job,LVFF-26047main-Main Job
OBE-27157,OBE-Shed Refurb,OBE-27157-OBE-Shed Refurb
Casa-CageLabour,Cage Installation,Casa-CageLabour-Cage Installation
OBE-27156,OBE Equip June 2016,OBE-27156-OBE Equip June 2016
Fell-27339,Convoy Repair 2016,Fell-27339-Convoy Repair 2016
Fell-27346,Fell Convoy repair,Fell-27346-Fell Convoy repair
LVFF-DR26054,LVFF Drinker Equip,LVFF-DR26054-LVFF Drinker Equip
VIV 2016 Ham,VIV Hamburg 2016,VIV 2016 Ham-VIV Hamburg 2016
Casa-silo2016,Casaccio Silo labour,Casa-silo2016-Casaccio Silo labour
OBE-Variations,OBE Variations Oct 2016,OBE-Variations-OBE Variations Oct 2016
IFS-M Fisher,New Job,IFS-M Fisher-New Job
GFR-28437,GFR-Second Hand Equipment,GFR-28437-GFR-Second Hand Equipment
GreenV-Curtain,Curtain-2017,GreenV-Curtain-Curtain-2017
RFF-27896,Real Food-27896,RFF-27896-Real Food-27896
OBE-2016,New Job,OBE-2016-New Job
SCOL-28760,Cage Relocation,SCOL-28760-Cage Relocation
VIV 2017 Bangko,VIV 2017 Bangkok,VIV 2017 Bangko-VIV 2017 Bangkok
Scol-Cage Reloc,Scolexia 28760,Scol-Cage Reloc-Scolexia 28760
Scol-Travel,Scolexia Travel hours,Scol-Travel-Scolexia Travel hours
SCOL-28987,Scolexia - Perching,SCOL-28987-Scolexia - Perching
Scol-29062,Nagambie Perching Stage 2,Scol-29062-Nagambie Perching Stage 2
EBM-SOF0328,Stankovic Replace Fans,EBM-SOF0328-Stankovic Replace Fans
GRE-29338,Grenax Shed 5 Mods,GRE-29338-Grenax Shed 5 Mods
GRE-29059,Grenax Conveyors,GRE-29059-Grenax Conveyors
Casa-29424,R4/Shed 6 Conveyor,Casa-29424-R4/Shed 6 Conveyor
EIP-29461,FR Facility 2017,EIP-29461-FR Facility 2017
EIP-29469,EIP- Equip-2017,EIP-29469-EIP- Equip-2017
EIP-29470,EIP- Astino-2017,EIP-29470-EIP- Astino-2017
PEQ-29916,PEQ-Rearing & Bird Cages,PEQ-29916-PEQ-Rearing & Bird Cages
PEQ-29733,PEQ-Prototypes,PEQ-29733-PEQ-Prototypes
MilanOct2017,MilanOct2017,MilanOct2017-MilanOct2017
PEQ-LiveBird,PEQ-Live Bird Cages,PEQ-LiveBird-PEQ-Live Bird Cages
PEQ-RearingCage,PEQ-Rearing Cages,PEQ-RearingCage-PEQ-Rearing Cages
EIP-Accom,EIP Accom etc,EIP-Accom-EIP Accom etc
EIP-Shed Extra,Extra Shed work,EIP-Shed Extra-Extra Shed work
EIP-30604,Water Treatment,EIP-30604-Water Treatment
PEQ-LB-Rectific,PEQ Live Bird Rectify,PEQ-LB-Rectific-PEQ Live Bird Rectify
RFF-30747,RFF mobile shed assy,RFF-30747-RFF mobile shed assy
RFF-Mobile Shed,Real Food F Mobile Shed,RFF-Mobile Shed-Real Food F Mobile Shed
RFF-30247,RFF Mobile shed Equip,RFF-30247-RFF Mobile shed Equip
PEQ-LiveBirdRew,New Job,PEQ-LiveBirdRew-New Job
EIP-30603,EIP-Coolrooms,EIP-30603-EIP-Coolrooms
ACC-30689,ACC-Back Wall 2018,ACC-30689-ACC-Back Wall 2018
RFF-31076,Silo Assembly,RFF-31076-Silo Assembly
ACC-31319,ACC-Back Wall -2- 2018,ACC-31319-ACC-Back Wall -2- 2018
PEQ-RC-Rework,PEQ-Rearing Cage Rework,PEQ-RC-Rework-PEQ-Rearing Cage Rework
RFF-31411,Install Nests on Trailer,RFF-31411-Install Nests on Trailer
YXA-31430,YXA Heaters,YXA-31430-YXA Heaters
EIS-30617,POP Door Ramps,EIS-30617-POP Door Ramps
Gre-829,Worksafe-2019,Gre-829-Worksafe-2019
PEQ-770,New Watering Sys Rearing,PEQ-770-New Watering Sys Rearing
Seymour2019,SeymourAlternativeFarming,Seymour2019-SeymourAlternativeFarming
AllfarmPD,Allfarm Product Developme,AllfarmPD-Allfarm Product Developme
FarmerLittlePro,FarmerLittlePromotion,FarmerLittlePro-FarmerLittlePromotion
LTZUC2019,Enriched cages at LT Egg Farm,LTZUC2019-Enriched cages at LT Egg Farm
SPF-Aug2019,Aus SPF ,SPF-Aug2019-Aus SPF 
FLSeymour2020,Seymour Alt Farm Expo 2020,FLSeymour2020-Seymour Alt Farm Expo 2020
McK-2019,New Job,McK-2019-New Job
Allfarm PD,Allfarm Product Development,Allfarm PD-Allfarm Product Development
FL-ACK,FL-Avio Collection Kit,FL-ACK-FL-Avio Collection Kit
FL Product Deve,Farmer Little Product Developm,FL Product Deve-Farmer Little Product Developm
GRE-2020,Grenax 4 Sheds,GRE-2020-Grenax 4 Sheds
GRE-2020DEP,Deposit on 4 sheds,GRE-2020DEP-Deposit on 4 sheds
GRE-1-2020,2020 First Shed,GRE-1-2020-2020 First Shed
GRE-2-2020,2020 Second Shed,GRE-2-2020-2020 Second Shed
GRE-3-2020,2020 Third Shed,GRE-3-2020-2020 Third Shed
GRE-4-2020,2020 Fourth Shed,GRE-4-2020-2020 Fourth Shed
FL-CommRollAway,Communal Rollaway Nest Develop,FL-CommRollAway-Communal Rollaway Nest Develop
FL - Warranty,Farmer Little Warranty,FL - Warranty-Farmer Little Warranty
FL - SalesWeb,Farmer Little Website Sales,FL - SalesWeb-Farmer Little Website Sales
Warranty-BS,Warranty for Bellsouth items,Warranty-BS-Warranty for Bellsouth items
Incubator Lab,Incubator Lab,Incubator Lab-Incubator Lab
FLFRT,FarmerLittle FreeRangeTrailers,FLFRT-FarmerLittle FreeRangeTrailers
FLFRT-0,FL FR Trailer 4.5x2.5Prototype,FLFRT-0-FL FR Trailer 4.5x2.5Prototype
RFF-15768,Assembly 2 SKA Mobile Sheds,RFF-15768-Assembly 2 SKA Mobile Sheds
CP-16435,Egg Conveyor by 2,CP-16435-Egg Conveyor by 2
AA_New Products,New AA Product Development,AA_New Products-New AA Product Development
FL Trailer One,FL Trailer One - 130 birds,FL Trailer One-FL Trailer One - 130 birds
CALAIS,Calais Exenses,CALAIS-Calais Exenses
HILUXTRAY,Expenses for IKN,HILUXTRAY-Expenses for IKN
Cas-tunnel,Free Range Tunnel Shed,Cas-tunnel-Free Range Tunnel Shed
Cas-Tunnel,Tunnel Free Range,Cas-Tunnel-Tunnel Free Range
Cas Permits,Permits for Tunnel Shed,Cas Permits-Permits for Tunnel Shed
Mcdougals,Layer System for Mcdougals,Mcdougals-Layer System for Mcdougals
Warranty FL,Warranty Farmer Little,Warranty FL-Warranty Farmer Little
Seymour-2021,SAFE 2021,Seymour-2021-SAFE 2021
AA Rent,AG Auto Rent,AA Rent-AG Auto Rent
FL Rent,Farmer Little Rent,FL Rent-Farmer Little Rent
AFL,Advertising Farmer Little,AFL-Advertising Farmer Little
PFL,Printing Farmer Little,PFL-Printing Farmer Little
AGFEST 2021,AGFest 2021,AGFEST 2021-AGFest 2021
BS,Bell South Sales,BS-Bell South Sales
FL - Sales General,Farmer Little Sales General,FL - Sales General-Farmer Little Sales General
BS-Sponsorships,Clubs & Show Sponsorships,BS-Sponsorships-Clubs & Show Sponsorships
IK,New Job,IK-New Job
IKC9JL,New Job,IKC9JL-New Job
Car Rego 1IN2KP,New Job,Car Rego 1IN2KP-New Job
ZIM,Tool Truck,ZIM-Tool Truck
YER666,DMAX,YER666-DMAX
SDS297,New Job,SDS297-New Job
AgAuto,Agricultural Automation,AgAuto-Agricultural Automation
AA,AA - General Sales,AA-AA - General Sales
Bellsouth,Bellsouth All Activity,Bellsouth-Bellsouth All Activity
SprinRanch2021,2 Sheds for Spring Ranch,SprinRanch2021-2 Sheds for Spring Ranch
SREQUIP,Avio supply,SREQUIP-Avio supply
xx,Seymour - 2022,xx-Seymour - 2022
Seymour-2022,New Job,Seymour-2022-New Job
SR16734,2 Sheds for Spring Ranch,SR16734-2 Sheds for Spring Ranch
GRN-17452,Greens - Chain Feeding System ,GRN-17452-Greens - Chain Feeding System 
PIX2022,PIX 2022,PIX2022-PIX 2022
AGFEST 2022,AGFEST 2022,AGFEST 2022-AGFEST 2022
AGFEST,AGFEST,AGFEST-AGFEST
Bellsouth Shows,Bellsouth Shows,Bellsouth Shows-Bellsouth Shows
BS-Anne Beaty,Anne Beaty,BS-Anne Beaty-Anne Beaty
1AW6HZ,Landcruiser costs,1AW6HZ-Landcruiser costs
Motor vehicles,Motor Vehicle Costs,Motor vehicles-Motor Vehicle Costs
AGFEST2023,New Job,AGFEST2023-New Job
VAXA,New Job,VAXA-New Job
Doreen EF,New Job,Doreen EF-New Job
WAGES ADVANCE,WAGES ADVANCE,WAGES ADVANCE-WAGES ADVANCE
ADVANCE,ADVANCE,ADVANCE-ADVANCE
B47785,"Trailer, B47785","B47785-Trailer, B47785"
ELMORE FIELD DAYS,Elmore Field Days,ELMORE FIELD DAYS-Elmore Field Days
Elmore 2023,Elmore 2023,Elmore 2023-Elmore 2023
AGFEST2024,Agfest 2024,AGFEST2024-Agfest 2024
Seymour-2023,New Job,Seymour-2023-New Job
LangiKakshed,New Job,LangiKakshed-New Job
SCE-36225,Curtains for Terang Farm,SCE-36225-Curtains for Terang Farm
Seymour2024,New Job,Seymour2024-New Job
